No.,Time,Source,Destination,Protocol,Length,Info
5349,11.225438,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5353,11.230692,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5357,11.238535,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5366,11.286284,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5367,11.288134,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5370,11.29866,192.168.1.2,91.108.23.100,HTTP,222,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5374,11.301616,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5387,11.350126,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5388,11.351086,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5391,11.360727,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5395,11.365773,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5403,11.415439,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5407,11.417669,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5411,11.445674,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5421,11.450648,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5428,11.496994,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5429,11.50097,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5433,11.507767,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5437,11.51265,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5446,11.558822,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5447,11.562884,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5450,11.570683,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5454,11.576348,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5462,11.624285,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5463,11.627748,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5467,11.637558,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5471,11.641634,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5479,11.702573,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5480,11.702573,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
